ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
05,Coahuila de Zaragoza,000,Total de la entidad Coahuila de Zaragoza,0000,Total de la Entidad,,,,3146771,1583102,1563669,160368,79095,81273,2980244,1500922,1479322,2860700,1441917,1418783,2475441,1252864,1222577,2316332,1174267,1142065,2157771,1096368,1061403,177691,87469,90222,327112,160589,166523,375447,184431,191016,159109,78597,80512,158561,77899,80662,375036,185189,189847,826197,348537,183179,165358,98.77,824280,2086745,229587,2.06,2711206,1365165,1346041,398612,200206,198406,2762766,1397625,1365141,83587,39123,44464,5527,2202,3325,40,17,23,5393,2143,3250,5481,37,5352,11516,    45976,    22565,    23411,134816,64602,57381,20223,27060,29181,21766,302543,90118,196190,18476,63967,15040,49128,35073,2683785,70545,34456,36089,12535,5927,6608,11664,5396,6268,118638,59301,59337,122912,60118,62794,6477,2676,3801,38606,19500,19106,49119,24650,24469,115209,60230,54979,268423,141622,126801,59780,27815,31965,668396,340523,327873,1050411,521603,528808,10.43,10.36,10.51,1484935,581668,903267,984416,669313,315103,1450922,572990,877932,34013,8678,25335,597373,2540708,2085705,193655,6136,8001,181821,12289,82868,30846,795950,1384623,293547,2357324,421206,2299,355798,900883,257311,643572,3137032,817308,2319724,1078048,901249,1043108,866309,900275,900883,129872,46927,3137032,3.48,0.84,890952,7270,220857,677432,14549,74407,809324,895921,2396,889513,859115,8789,598397,122510,882547,11349,886984,11235,879659,538,880714,321539,2308,870949,780014,574724,554420,67634,167028,642682,863515,367970,372132,824291,519599,443659,195883,124077,17020,46420,332298,5754,*
05,Coahuila de Zaragoza,000,Total de la entidad Coahuila de Zaragoza,9998,Localidades de una vivienda,,,,8078,2674,5404,277,137,140,7767,2518,5249,7566,2421,5145,6959,2140,4819,6694,2026,4668,6429,1923,4506,306,147,159,502,231,271,597,270,327,265,114,151,265,103,162,754,287,467,1258,1442,432,1010,202.09,1350,5691,1003,*,5940,2246,3694,2014,377,1637,5934,2269,3665,442,143,299,141,29,112,0,0,0,134,29,105,140,0,133,56,      171,       82,       89,403,172,163,60,98,57,46,959,331,608,50,240,32,146,82,6627,141,70,71,32,16,16,49,19,30,135,54,81,101,38,63,16,7,9,427,115,312,518,127,391,1265,310,955,1445,531,914,851,63,788,1386,577,809,1120,371,749,6.99,7.51,6.71,3788,722,3066,3020,1413,1607,3761,719,3042,27,3,24,3258,4766,3416,105,9,7,1035,74,97,82,1925,4372,657,5814,1182,8,1017,2509,209,2300,6572,672,5900,4327,2516,4234,2423,2504,2509,455,1356,6572,2.62,0.86,2353,140,1281,1212,259,717,1517,2009,484,1995,430,498,1531,445,1828,506,1966,527,1545,150,1756,764,105,1801,1238,784,1639,379,553,1726,1694,231,103,1937,302,854,84,63,339,537,2084,166,*
05,Coahuila de Zaragoza,000,Total de la entidad Coahuila de Zaragoza,9999,Localidades de dos viviendas,,,,3463,1129,2334,112,52,60,3338,1071,2267,3259,1037,2222,3049,939,2110,2952,887,2065,2844,839,2005,108,49,59,181,83,98,220,108,112,97,52,45,108,48,60,513,143,370,578,446,177,269,206.73,498,2643,309,*,2604,851,1753,781,247,534,2804,929,1875,391,97,294,264,66,198,8,1,7,253,65,188,264,8,253,29,       52,       23,       29,151,87,69,29,35,49,31,422,115,279,21,97,21,63,34,2858,60,24,36,22,8,14,27,11,16,50,22,28,47,15,32,5,3,2,144,44,100,182,61,121,305,94,211,816,241,575,142,43,99,951,231,720,518,195,323,7.73,7.9,7.66,1216,380,836,1075,559,516,1207,377,830,9,3,6,1236,2205,1591,58,14,1,451,30,55,33,912,1869,268,2375,595,4,460,744,88,656,2100,254,1846,1600,754,1556,710,741,744,194,652,2100,2.82,0.89,701,36,347,390,69,172,496,645,92,628,108,109,452,162,586,111,626,111,522,15,564,224,25,582,425,241,482,108,111,489,544,89,43,573,101,287,29,16,82,153,599,46,*
05,Coahuila de Zaragoza,001,Abasolo,0000,Total del Municipio,,,,1022,487,535,39,16,23,983,471,512,947,453,494,852,417,435,814,394,420,780,377,403,53,25,28,78,29,49,88,45,43,38,23,15,34,17,17,110,53,57,224,230,107,123,109.86,208,643,171,2.51,972,461,511,23,13,10,922,448,474,11,3,8,1,0,1,0,0,0,1,0,1,1,0,1,3,        2,        1,        1,83,40,41,8,17,15,14,125,55,70,5,23,4,25,12,805,21,6,15,4,1,3,1,0,1,28,16,12,41,21,20,1,0,1,18,7,11,16,7,9,84,41,43,153,76,77,15,5,10,277,128,149,239,118,121,8.94,9.04,8.85,437,123,314,412,293,119,424,118,306,13,5,8,438,580,276,50,0,0,188,76,3,9,212,509,131,595,238,0,183,363,84,279,1022,206,816,696,363,695,362,362,363,196,137,1022,2.82,0.66,362,0,104,258,2,28,332,362,0,360,345,2,249,240,351,10,355,7,353,0,351,119,0,356,313,256,240,41,146,255,349,77,46,318,40,187,14,21,7,28,265,4,*
05,Coahuila de Zaragoza,001,Abasolo,0001,Abasolo,"101°25'35.000"" W","27°10'55.000"" N",0436,735,362,373,23,11,12,712,351,361,686,341,345,610,311,299,576,289,287,550,276,274,40,16,24,62,24,38,73,39,34,34,22,12,26,13,13,84,43,41,175,143,73,70,103.04,159,468,108,2.42,696,340,356,18,11,7,666,336,330,10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,        2,        1,        1,55,27,26,5,9,12,12,81,40,41,3,11,3,17,11,595,19,5,14,4,1,3,1,0,1,20,12,8,37,21,16,1,0,1,8,4,4,7,1,6,53,31,22,90,44,46,6,1,5,205,100,105,194,98,96,9.41,9.55,9.28,327,106,221,281,205,76,317,101,216,10,5,5,271,464,206,46,0,0,150,73,3,7,167,349,94,422,179,0,132,252,61,191,735,151,584,418,252,417,251,251,252,97,69,735,2.92,0.66,251,0,61,190,1,16,234,251,0,251,250,0,156,179,249,2,249,2,249,0,249,81,0,247,222,182,169,33,100,184,243,64,40,223,31,131,12,20,3,15,175,2,3
05,Coahuila de Zaragoza,001,Abasolo,0002,Las Adjuntas,"101°16'34.169"" W","27°07'08.050"" N",0422,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
05,Coahuila de Zaragoza,001,Abasolo,0005,Pájaros Azules,"101°02'09.632"" W","27°06'20.309"" N",0510,9,4,5,1,0,1,8,4,4,7,3,4,7,3,4,7,3,4,7,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,125,2,7,0,4.33,8,4,4,0,0,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,4,2,2,0,0,0,1,0,1,1,1,0,6.71,8,5.75,4,0,4,3,3,0,4,0,4,0,0,0,3,5,5,0,0,0,0,0,0,0,1,6,0,2,0,0,6,3,0,3,9,0,9,7,3,7,3,3,3,3,1,9,3,1,3,0,1,2,0,1,2,3,0,3,0,0,2,0,0,3,2,1,2,0,0,1,0,3,3,0,2,0,1,3,3,0,0,2,0,3,0,0,0,1,3,0,1
05,Coahuila de Zaragoza,001,Abasolo,0006,Los Pozos,"101°20'18.700"" W","27°04'40.769"" N",0458,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
05,Coahuila de Zaragoza,001,Abasolo,0007,Los Rodríguez,"101°21'27.277"" W","27°12'01.018"" N",0416,231,100,131,12,4,8,219,96,123,213,91,122,197,87,110,193,86,107,187,82,105,9,6,3,13,3,10,12,4,8,4,1,3,6,4,2,16,7,9,40,77,31,46,131,38,135,58,2.71,226,99,127,2,1,1,209,91,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,24,11,12,3,7,3,2,36,13,25,2,9,1,7,0,170,0,0,0,0,0,0,0,0,0,6,4,2,4,0,4,0,0,0,6,1,5,5,3,2,22,8,14,55,29,26,9,4,5,61,23,38,34,14,20,7.86,7.64,8.04,86,14,72,110,72,38,83,14,69,3,0,3,150,80,37,2,0,0,37,3,0,2,38,127,32,138,55,0,37,92,19,73,231,42,189,247,92,247,92,92,92,93,62,231,2.51,0.6,92,0,35,57,1,5,86,92,0,92,91,0,82,56,89,3,89,3,89,0,89,30,0,91,78,68,60,7,43,56,89,12,6,78,9,44,2,1,2,11,72,2,1
05,Coahuila de Zaragoza,001,Abasolo,0011,Buena Suerte (Los García),"101°19'25.357"" W","27°04'05.707"" N",0451,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
