ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
15,México,000,Total de la entidad México,0000,Total de la Entidad,,,,16992418,8741123,8251295,724133,357766,366367,16260058,8379157,7880901,15707805,8105314,7602491,13742847,7137483,6605364,12862124,6699582,6162542,11974932,6261545,5713387,834611,413191,421420,1682600,828483,854117,2024076,999706,1024370,880723,437901,442822,887192,438037,449155,2004632,1000798,1003834,4700984,1919454,1043149,876305,94.4,4122067,11603770,1258354,1.95,11669688,5940122,5729566,5190562,2746909,2443653,15198264,7860389,7337875,433992,224107,209885,417603,220131,197472,5422,3703,1719,405775,213320,192455,415450,5345,403796,1026540,   296264,   149402,   146862,756531,332266,353735,108644,167345,128661,131212,1928850,559098,1311932,113471,413380,94823,345634,205307,14186323,326438,160408,166030,76986,37116,39870,68394,31111,37283,685543,347722,337821,713951,361450,352501,31422,13814,17608,372454,248391,124063,452522,287294,165228,773815,436067,337748,1595527,871046,724481,375582,163854,211728,3358430,1711265,1647165,5814269,2965255,2849014,10.08,9.93,10.25,8544416,3549802,4994614,5162516,3571005,1591511,8364273,3495702,4868571,180143,54100,126043,5672574,11267677,5983389,828041,359266,141504,3449337,66031,276048,289383,4799091,7276393,1655175,13363922,1344725,61487,2163910,4568635,1463108,3105527,16943520,4947702,11995818,5403492,4569533,5137408,4303449,4561381,4568635,611159,222800,16943520,3.71,0.95,4463581,92762,1416182,3141610,233287,709873,3614459,4543258,14765,4439141,3815549,118409,3552310,1763040,4403138,90488,4440083,112246,4348371,3991,4402471,2420030,34932,3913160,3308629,2260210,1943484,465964,1186929,3377753,4308399,1851854,2123211,4049493,2561525,1559564,822048,572663,133777,329132,1769551,53857,*
15,México,000,Total de la entidad México,9998,Localidades de una vivienda,,,,6011,553,5458,30,20,10,5981,533,5448,5960,522,5438,5897,496,5401,5869,484,5385,5839,462,5377,28,14,14,56,23,33,64,25,39,28,12,16,30,22,8,683,76,607,377,260,52,208,986.98,142,5711,158,*,537,250,287,140,62,78,597,271,326,32,12,20,47,5,42,0,0,0,9,4,5,47,0,9,19,        8,        0,        8,34,18,10,6,10,4,9,111,66,61,8,20,5,22,44,5827,17,10,7,6,3,3,4,3,1,21,17,4,398,42,356,0,0,0,103,30,73,114,37,77,1514,109,1405,563,62,501,1778,78,1700,1056,100,956,832,90,742,7.42,7.38,7.42,4290,316,3974,1607,180,1427,4288,316,3972,2,0,2,271,412,85,13,5,0,272,12,17,9,3295,2380,219,3428,1417,40,1122,194,28,166,672,100,572,396,197,383,184,193,194,122,77,672,3.46,0.92,171,22,71,122,12,49,130,150,43,144,53,49,132,83,142,26,160,33,115,14,142,85,16,107,83,53,97,36,50,124,135,32,24,150,33,50,8,4,39,41,148,23,*
15,México,000,Total de la entidad México,9999,Localidades de dos viviendas,,,,765,357,408,33,16,17,732,341,391,711,332,379,635,292,343,591,274,317,554,258,296,30,14,16,67,35,32,90,42,48,44,18,26,37,16,21,81,40,41,168,146,66,80,114.29,174,480,111,*,619,282,337,138,74,64,683,323,360,26,9,17,22,8,14,1,0,1,21,8,13,22,1,21,52,        6,        2,        4,36,14,14,5,10,4,10,110,56,70,5,35,9,21,6,617,12,5,7,3,2,1,10,3,7,22,10,12,21,10,11,4,2,2,72,41,31,83,41,42,81,33,48,110,45,65,16,7,9,126,61,65,157,78,79,7.54,7.7,7.41,398,126,272,236,166,70,393,125,268,5,1,4,272,492,101,14,19,10,335,2,9,7,214,345,75,706,21,0,37,212,48,164,765,154,611,415,212,399,196,208,212,113,90,765,3.61,1.02,193,15,76,132,8,46,154,182,26,179,47,29,125,80,159,9,161,47,134,5,160,108,16,138,89,52,89,30,48,124,153,36,29,153,38,52,7,6,36,51,156,23,*
15,México,001,Acambay de Ruíz Castañeda,0000,Total del Municipio,,,,67872,35255,32617,3782,1768,2014,64085,33484,30601,61441,32152,29289,51859,27342,24517,47683,25306,22377,43522,23223,20299,3985,2014,1971,8241,4128,4113,9770,4852,4918,4176,2036,2140,4161,2083,2078,8152,4303,3849,18314,7502,3990,3512,92.52,20184,42380,5303,2.61,63398,32789,30609,3916,2192,1724,59918,31440,28478,1148,602,546,8601,4643,3958,121,82,39,8357,4491,3866,8567,121,8325,19713,     2012,     1066,      946,4790,2231,2233,627,1128,738,922,10074,3522,6635,624,2246,567,2324,881,52686,1626,808,818,270,152,118,275,124,151,3060,1575,1485,2212,1263,949,115,50,65,3791,2608,1183,3726,2506,1220,6188,3231,2957,7077,3605,3472,1584,642,942,14311,7445,6866,12890,6859,6031,8.3,8.19,8.43,35834,15843,19991,15875,11435,4440,35333,15747,19586,501,96,405,20961,46861,4818,1682,1535,167,37863,108,56,830,18101,28579,5163,60562,3903,10,3314,17393,5354,12039,67872,18579,49293,23788,17393,23307,16912,17381,17393,4292,2103,67872,3.9,1.09,16710,666,6444,10932,813,3165,13400,16929,449,15574,4705,1805,13838,4422,12661,2123,13728,3640,12962,214,12964,10869,556,11754,6403,3461,6298,614,2375,10003,15223,2473,1954,13388,2973,2140,393,257,1352,3427,13523,734,*
15,México,001,Acambay de Ruíz Castañeda,0001,Villa de Acambay de Ruíz Castañeda," 99°50'38.515"" W","19°57'22.423"" N",2564,5988,3148,2840,300,132,168,5688,3016,2672,5486,2909,2577,4750,2568,2182,4452,2432,2020,4139,2285,1854,308,162,146,630,286,344,706,325,381,298,136,162,313,147,166,706,400,306,1737,674,360,314,90.22,1536,4015,437,1.91,5154,2707,2447,772,408,364,5269,2811,2458,182,85,97,96,52,44,0,0,0,93,51,42,96,0,93,297,       61,       25,       36,316,140,134,29,62,27,66,784,258,526,21,123,13,119,53,4871,99,56,43,7,4,3,12,7,5,253,120,133,315,179,136,5,1,4,81,58,23,92,59,33,236,145,91,354,192,162,76,27,49,890,464,426,2630,1457,1173,11.63,11.71,11.54,3117,1471,1646,1626,1094,532,3046,1449,1597,71,22,49,1988,3997,709,558,754,4,1860,13,10,118,1780,2488,482,5236,301,6,442,1583,563,1020,5988,1899,4089,2078,1583,1961,1466,1582,1583,326,169,5988,3.78,0.88,1569,13,385,1197,69,174,1339,1578,4,1576,1569,6,1510,316,1562,16,1568,14,1560,0,1566,677,6,1334,1033,727,888,114,237,984,1498,789,561,1441,854,677,226,118,55,75,573,10,6
15,México,001,Acambay de Ruíz Castañeda,0002,Agostadero (San José Agostadero),"100°00'09.008"" W","20°02'25.109"" N",2684,587,302,285,21,12,9,566,290,276,555,284,271,474,241,233,441,224,217,404,210,194,22,11,11,70,38,32,83,44,39,33,17,16,37,14,23,44,23,21,139,122,54,68,94.37,146,350,91,2.8,533,273,260,41,22,19,549,282,267,2,1,1,2,1,1,0,0,0,2,1,1,2,0,2,1,        5,        3,        2,67,44,20,2,8,6,6,124,44,85,4,22,2,14,14,387,11,6,5,1,1,0,3,1,2,31,11,20,21,11,10,3,0,3,52,34,18,70,41,29,49,24,25,66,32,34,13,7,6,134,68,66,92,44,48,7.52,7.37,7.69,290,114,176,182,126,56,288,113,175,2,1,1,92,495,39,0,0,1,455,0,0,0,168,250,56,582,1,0,4,171,35,136,587,93,494,322,171,310,159,171,171,104,47,587,3.43,0.85,163,8,66,105,4,13,154,167,4,162,3,9,150,43,154,1,153,18,148,2,151,93,7,140,83,41,78,2,11,94,149,12,43,109,9,12,2,0,13,44,155,8,3
15,México,001,Acambay de Ruíz Castañeda,0003,Agua Limpia," 99°49'12.331"" W","19°54'44.665"" N",2726,272,131,141,15,4,11,257,127,130,241,120,121,211,106,105,200,101,99,185,94,91,24,11,13,22,10,12,24,9,15,11,5,6,15,7,8,47,22,25,78,28,13,15,107.63,72,182,18,2.36,268,129,139,4,2,2,238,120,118,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,        1,        0,        1,15,7,7,3,6,3,5,39,14,26,4,15,5,6,7,215,13,6,7,0,0,0,1,1,0,13,6,7,17,12,5,0,0,0,13,8,5,14,7,7,19,12,7,48,24,24,8,3,5,50,25,25,51,26,25,8.31,8.19,8.42,161,70,91,49,35,14,161,70,91,0,0,0,48,224,20,3,1,0,191,0,3,9,82,121,8,270,2,0,0,69,17,52,272,53,219,95,69,95,69,69,69,12,14,272,3.94,1.13,67,2,26,43,6,9,54,68,1,65,7,4,54,35,59,2,57,12,56,0,57,46,0,53,19,7,23,0,9,44,57,9,0,61,6,16,0,0,5,8,58,1,2
15,México,001,Acambay de Ruíz Castañeda,0004,Las Arenas (San Agustín)," 99°43'43.634"" W","19°59'17.820"" N",2629,902,439,463,48,22,26,854,417,437,820,405,415,700,351,349,650,327,323,596,300,296,50,18,32,104,48,56,119,56,63,50,24,26,54,27,27,128,66,62,248,102,46,56,105.47,252,577,73,2.53,865,420,445,36,19,17,809,400,409,10,5,5,103,41,62,9,4,5,91,36,55,103,9,91,246,        1,        0,        1,54,24,18,19,9,6,9,195,65,144,9,65,9,31,21,651,11,3,8,4,3,1,1,0,1,48,23,25,38,22,16,1,0,1,27,17,10,25,15,10,101,55,46,102,41,61,13,5,8,213,115,98,175,87,88,8.38,8.42,8.34,594,278,316,105,72,33,590,276,314,4,2,2,344,558,72,5,20,3,463,1,1,0,235,415,50,800,87,0,14,234,64,170,902,213,689,280,234,275,229,234,234,32,14,902,3.85,1.09,230,4,80,154,7,29,198,231,3,202,10,32,194,50,147,65,147,87,132,1,145,114,3,170,107,42,115,18,138,156,207,38,18,176,43,3,4,1,14,52,168,8,3
15,México,001,Acambay de Ruíz Castañeda,0006,Boshi Chiquito," 99°49'02.000"" W","19°55'37.000"" N",2644,415,218,197,23,16,7,392,202,190,369,189,180,301,149,152,275,138,137,247,127,120,31,19,12,60,34,26,67,34,33,26,11,15,28,11,17,53,31,22,110,30,12,18,90.37,140,256,19,2.53,409,213,196,6,5,1,364,187,177,1,0,1,11,4,7,0,0,0,11,4,7,11,0,11,33,        6,        3,        3,6,1,3,0,3,1,0,26,10,20,4,7,6,9,5,379,14,8,6,6,4,2,2,1,1,19,8,11,12,6,6,1,1,0,14,8,6,11,5,6,36,19,17,76,34,42,5,2,3,102,54,48,34,20,14,7.5,7.64,7.36,211,93,118,81,55,26,209,93,116,2,0,2,20,395,19,3,1,1,364,0,0,8,92,193,16,404,10,0,1,104,22,82,415,81,334,117,104,117,104,104,104,7,6,415,3.99,1.13,103,1,44,60,1,23,80,104,0,97,52,7,85,53,80,10,89,15,89,0,84,70,3,83,42,21,33,3,14,60,89,6,3,78,7,13,0,0,9,23,92,5,2
15,México,001,Acambay de Ruíz Castañeda,0007,Boshi Grande," 99°48'42.236"" W","19°57'16.901"" N",2690,172,91,81,7,5,2,165,86,79,162,85,77,137,70,67,123,66,57,109,60,49,8,4,4,20,12,8,28,11,17,14,4,10,14,6,8,21,10,11,47,21,11,10,89.01,49,108,15,3.06,165,85,80,4,4,0,160,83,77,2,2,0,4,1,3,0,0,0,4,1,3,4,0,4,0,        1,        1,        0,18,12,9,2,8,3,4,27,10,17,1,7,1,2,2,126,1,1,0,1,1,0,4,0,4,12,5,7,5,4,1,0,0,0,17,9,8,12,7,5,20,8,12,24,12,12,3,3,0,26,11,15,26,20,6,7.47,8.08,6.77,55,14,41,82,56,26,44,13,31,11,1,10,45,127,8,6,0,0,108,0,1,4,65,58,14,170,0,0,2,45,16,29,172,53,119,65,45,62,42,45,45,15,5,172,3.82,1.03,44,1,13,32,2,6,37,42,3,42,38,3,40,25,37,3,37,8,36,2,37,20,3,34,27,11,25,1,11,30,40,3,0,32,5,12,0,1,4,13,39,3,1
