clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion,pobreza,pobreza_pob,pobreza_e,pobreza_e_pob,pobreza_m,pobreza_m_pob,vul_car,vul_car_pob,vul_ing,vul_ing_pob,npnv,npnv_pob,ic_rezedu,ic_rezedu_pob,ic_asalud,ic_asalud_pob,ic_segsoc,ic_segsoc_pob,ic_cv,ic_cv_pob,ic_sbv,ic_sbv_pob,ic_ali,ic_ali_pob,carencias,carencias_pob,carencias3,carencias3_pob,plb,plb_pob,plbm,plbm_pob
1,Aguascalientes,1001,Aguascalientes,861446,26.1,224949,1.6,13650,24.5,211299,26.4,227805,11.5,98641,36,310052,11.7,100530,15.1,129728,36.4,313557,3.7,32153,3,25494,18,154658,52.6,452753,7.3,63220,37.6,323590,10,86166
1,Aguascalientes,1002,Asientos,46624,54,25169,4.4,2067,49.5,23101,29,13544,7.7,3577,9.3,4335,19.8,9244,6,2788,69,32175,7.8,3633,16.2,7553,24.7,11494,83,38713,14.1,6594,61.7,28745,24.4,11394
1,Aguascalientes,1003,Calvillo,52773,56.8,29951,3.1,1650,53.6,28301,27.6,14561,6.3,3348,9.3,4913,23.2,12254,9.9,5212,73.6,38857,5.2,2746,7.7,4082,17.3,9148,84.3,44513,10.5,5528,63.1,33299,26.8,14118
1,Aguascalientes,1004,Cosío,15321,43.2,6620,2.8,432,40.4,6187,32.7,5004,8,1232,16.1,2466,14.7,2251,5.5,846,62.7,9608,7.9,1215,7.6,1167,20.7,3175,75.9,11623,9.9,1522,51.2,7852,16.6,2546
1,Aguascalientes,1005,Jesús María,125750,25,31479,1.7,2095,23.4,29385,38,47831,6.6,8314,30.3,38126,17.3,21712,15.2,19076,45,56595,8.2,10303,6.3,7977,18.7,23562,63.1,79310,11.3,14225,31.6,39794,7.9,9984
1,Aguascalientes,1006,Pabellón de Arteaga,45733,34.9,15972,2.2,1005,32.7,14966,30.2,13802,10.5,4823,24.4,11137,15.3,7008,10.5,4821,49.8,22778,5.8,2651,5.8,2669,19.4,8852,65.1,29773,9.2,4186,45.5,20794,13.8,6305
1,Aguascalientes,1007,Rincón de Romos,50895,50.1,25483,3.3,1660,46.8,23824,23.2,11833,9.9,5014,16.8,8565,14.6,7427,10.3,5265,60.8,30964,7.8,3979,7.7,3895,22.7,11533,73.3,37316,10.6,5373,59.9,30498,22.9,11671
1,Aguascalientes,1008,San José de Gracia,8768,59.6,5228,5.3,464,54.3,4764,22.2,1945,4.4,388,13.8,1206,15.3,1340,5.2,459,74.7,6551,6.8,594,8.6,752,20.9,1832,81.8,7173,10.1,882,64.1,5616,28.2,2475
1,Aguascalientes,1009,Tepezalá,20484,50.7,10378,3.1,643,47.5,9735,31.2,6393,7.1,1447,11.1,2266,20.8,4258,8.3,1690,68.2,13965,6.1,1257,10.5,2142,21.4,4391,81.9,16771,11.2,2299,57.7,11825,21,4305
1,Aguascalientes,1010,El Llano,19955,55.1,10988,5.3,1064,49.7,9924,26,5181,8.2,1627,10.8,2158,19.7,3922,9.1,1819,63.8,12724,8.2,1631,17.1,3416,24.8,4939,81,16170,14.4,2883,63.2,12615,26.3,5249
