ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
17,Morelos,000,Total de la entidad Morelos,0000,Total de la Entidad,,,,1971520,1020673,950847,82809,40825,41984,1887763,979359,908404,1825133,948425,876708,1600850,837953,762897,1502021,789341,712680,1401829,740381,661448,94561,46560,48001,192352,94846,97506,228436,112386,116050,98829,48612,50217,100192,48960,51232,228608,115646,112962,528439,273903,147439,126464,93.16,468551,1312593,189428,2.06,1451544,741049,710495,500693,269893,230800,1733153,903197,829956,78624,40753,37871,38110,19509,18601,912,604,308,36939,18801,18138,37569,838,36473,82634,    38331,    19604,    18727,109255,54229,45903,16089,25711,19042,20931,256802,84843,160170,15549,56495,10697,57423,24482,1592974,35852,17580,18272,8170,3814,4356,8889,3680,5209,72466,36989,35477,78261,40682,37579,5072,2123,2949,66663,39647,27016,78427,44731,33696,106574,55734,50840,183865,96333,87532,43438,19359,24079,392018,205123,186895,649809,341928,307881,9.84,9.81,9.88,1017989,439091,578898,577216,396865,180351,996215,432886,563329,21774,6205,15569,552170,1416884,616556,148496,4263,11688,618457,6207,24432,6869,529970,842395,227394,1399556,282384,3702,282418,560669,195480,365189,1961679,631458,1330221,819501,560941,794736,536176,559102,560669,138378,120182,1961679,3.5,0.96,537239,21532,184845,373945,41046,97238,420499,556409,2394,536178,461234,22616,443017,259855,543484,9132,548632,10094,528548,571,543027,287368,4303,504256,369825,232525,234837,77104,101999,389920,509829,204850,236487,499787,307830,222853,90825,48209,24696,34950,227132,7724,*
17,Morelos,000,Total de la entidad Morelos,9998,Localidades de una vivienda,,,,1382,1079,303,21,9,12,1361,1070,291,1341,1062,279,1291,1033,258,1263,1023,240,1243,1013,230,32,14,18,38,23,15,57,26,31,28,10,18,20,10,10,113,84,29,868,125,56,69,28.08,119,1179,84,*,439,210,229,899,828,71,475,215,260,31,14,17,23,14,9,0,0,0,18,9,9,22,0,17,38,       12,        8,        4,39,17,11,5,10,4,5,94,35,59,8,24,4,25,9,1246,12,2,10,2,1,1,1,0,1,10,5,5,19,17,2,2,0,2,36,19,17,42,22,20,102,54,48,219,172,47,430,421,9,104,42,62,359,308,51,7.9,8.16,7.43,383,152,231,908,881,27,381,152,229,2,0,2,1013,368,95,18,1,4,250,0,2,0,505,649,136,940,218,8,135,178,25,153,549,79,470,698,179,693,174,177,178,290,229,549,3.08,1.07,160,17,98,79,23,57,97,132,45,120,25,57,123,80,133,20,138,39,94,17,129,64,13,108,58,33,91,39,49,115,109,23,17,145,40,35,2,3,39,27,130,18,*
17,Morelos,000,Total de la entidad Morelos,9999,Localidades de dos viviendas,,,,603,261,342,29,19,10,574,242,332,559,234,325,483,205,278,455,188,267,422,177,245,24,14,10,67,23,44,69,36,33,28,17,11,33,11,22,66,31,35,123,108,39,69,131.03,148,386,69,*,455,192,263,146,68,78,516,219,297,39,15,24,17,5,12,0,0,0,17,5,12,17,0,17,25,        7,        1,        6,31,16,13,8,7,4,6,82,32,39,5,22,1,19,8,481,14,7,7,8,2,6,6,2,4,16,5,11,8,4,4,8,1,7,42,14,28,46,17,29,67,24,43,82,34,48,16,6,10,133,58,75,104,45,59,7.71,7.99,7.51,345,100,245,137,104,33,337,96,241,8,4,4,171,431,145,21,2,5,258,0,7,0,126,291,66,429,103,0,71,179,25,154,547,88,459,452,180,445,173,178,179,155,117,547,3.06,1.05,155,23,88,90,36,36,106,147,31,119,40,59,124,79,142,10,144,34,103,14,135,76,11,115,67,30,91,40,37,115,122,18,14,150,30,30,5,0,35,27,144,16,*
17,Morelos,001,Amacuzac,0000,Total del Municipio,,,,17598,9149,8449,812,422,390,16786,8727,8059,16071,8368,7703,13864,7275,6589,12922,6826,6096,11956,6344,5612,1117,552,565,1805,900,905,2096,1025,1071,942,449,493,966,482,484,1987,1009,978,4487,2616,1399,1217,92.35,4676,11027,1895,2.5,13369,6845,6524,4073,2229,1844,15488,8059,7429,499,286,213,40,23,17,0,0,0,40,23,17,40,0,40,123,      105,       50,       55,1047,568,452,178,265,202,227,2184,858,1337,142,478,94,398,191,14291,469,226,243,107,48,59,126,55,71,678,331,347,497,247,250,42,22,20,1029,640,389,1046,608,438,1293,699,594,1996,1084,912,343,171,172,3812,1959,1853,3984,2071,1913,8.52,8.42,8.64,7649,2876,4773,6177,4383,1794,7514,2855,4659,135,21,114,2563,15029,3253,1505,49,94,9955,23,94,139,4202,7642,2018,13748,2161,0,1682,4991,1722,3269,17595,5533,12062,7050,4992,6852,4794,4974,4991,1796,262,17595,3.53,1.07,4738,234,1818,3155,454,1126,3393,4940,33,4842,3767,131,3792,2462,4708,138,4746,227,4642,11,4703,3200,80,4536,2910,1386,1545,479,379,2849,4239,979,1827,4056,1919,1833,277,130,454,570,2895,175,*
17,Morelos,001,Amacuzac,0001,Amacuzac," 99°22'10.251"" W","18°36'00.006"" N",0900,5575,2925,2650,216,118,98,5359,2807,2552,5140,2699,2441,4499,2390,2109,4199,2249,1950,3905,2096,1809,340,161,179,520,256,264,622,307,315,300,141,159,294,153,141,665,337,328,1495,793,441,352,90.6,1376,3645,554,2.15,4441,2305,2136,1092,602,490,4960,2601,2359,171,96,75,11,8,3,0,0,0,11,8,3,11,0,11,33,       30,       15,       15,346,175,157,48,78,54,60,723,238,458,36,142,24,142,61,4482,102,46,56,20,8,12,30,9,21,227,118,109,217,108,109,11,5,6,185,123,62,215,132,83,318,178,140,514,289,225,117,56,61,1070,561,509,1820,952,868,9.71,9.57,9.88,2693,1117,1576,1800,1269,531,2646,1106,1540,47,11,36,1028,4547,1306,891,39,24,2289,2,20,10,1484,2349,666,4559,556,0,458,1628,569,1059,5572,1770,3802,2162,1629,2098,1565,1619,1628,457,76,5572,3.42,0.95,1566,52,578,1040,123,305,1190,1614,4,1601,1487,17,1309,930,1573,24,1577,41,1563,0,1572,921,11,1491,1043,610,627,180,114,947,1452,486,704,1442,811,835,164,80,90,83,741,22,6
17,Morelos,001,Amacuzac,0002,Cajones," 99°20'48.128"" W","18°34'33.424"" N",0894,553,275,278,31,15,16,522,260,262,501,245,256,422,213,209,384,192,192,352,180,172,36,22,14,64,25,39,83,39,44,38,21,17,32,12,20,55,28,27,131,80,39,41,101.09,169,326,58,2.93,358,178,180,183,93,90,472,234,238,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,26,16,12,4,5,8,4,63,33,27,9,6,5,10,6,462,23,16,7,2,1,1,7,3,4,12,5,7,9,3,6,1,0,1,44,25,19,36,19,17,80,44,36,73,33,40,10,6,4,118,60,58,59,28,31,6.89,6.72,7.05,175,40,135,245,172,73,161,39,122,14,1,13,74,479,32,16,1,7,424,0,0,0,133,227,62,457,51,0,45,151,55,96,553,187,366,266,151,266,151,151,151,104,11,553,3.66,1.25,143,8,50,101,20,42,89,149,2,146,55,5,100,24,131,13,131,20,131,1,130,99,4,130,82,37,46,16,4,84,122,24,45,122,39,27,3,3,21,19,104,8,3
17,Morelos,001,Amacuzac,0003,Casahuatlán," 99°23'09.536"" W","18°34'24.213"" N",0949,1915,993,922,111,47,64,1804,946,858,1716,900,816,1439,761,678,1341,708,633,1216,649,567,141,75,66,224,110,114,239,120,119,98,53,45,125,59,66,233,118,115,481,262,139,123,92.85,574,1142,199,3.04,1178,585,593,720,399,321,1635,856,779,70,42,28,5,0,5,0,0,0,5,0,5,5,0,5,19,        2,        1,        1,138,88,53,26,39,25,34,216,89,134,11,51,6,24,33,1552,67,35,32,10,6,4,14,8,6,80,36,44,28,15,13,10,7,3,211,134,77,186,114,72,195,110,85,213,104,109,44,25,19,403,205,198,248,121,127,7.02,6.76,7.31,862,340,522,574,421,153,855,338,517,7,2,5,320,1595,194,65,0,14,1314,4,6,0,423,798,218,1462,258,0,194,504,192,312,1915,615,1300,717,504,699,486,501,504,208,5,1915,3.8,1.2,441,60,224,277,63,119,319,497,4,489,192,12,364,376,452,29,456,45,446,1,451,360,16,439,219,104,122,35,33,278,398,54,146,400,123,72,5,4,67,66,365,19,4
17,Morelos,001,Amacuzac,0004,Coahuixtla," 99°22'08.736"" W","18°34'26.698"" N",0914,1151,592,559,52,21,31,1099,571,528,1051,545,506,893,462,431,829,433,396,741,385,356,73,40,33,133,69,64,153,75,78,64,29,35,88,48,40,125,64,61,290,174,90,84,94.43,322,704,125,2.67,864,432,432,275,154,121,1022,526,496,23,19,4,1,1,0,0,0,0,1,1,0,1,0,1,0,       33,       17,       16,68,44,26,8,13,13,12,126,59,73,11,25,3,29,14,949,36,21,15,20,9,11,9,4,5,64,32,32,22,11,11,3,1,2,83,51,32,89,52,37,89,47,42,169,92,77,22,14,8,271,135,136,148,74,74,7.46,7.28,7.66,408,122,286,480,339,141,401,122,279,7,0,7,188,963,134,28,0,15,785,1,1,0,287,494,112,822,195,0,134,314,100,214,1151,350,801,493,314,479,300,311,314,170,9,1151,3.67,1.14,303,8,112,199,19,73,219,309,2,308,217,3,260,179,298,4,300,11,298,1,300,235,5,285,177,55,58,26,18,188,260,40,128,238,99,61,3,3,29,39,200,11,4
17,Morelos,001,Amacuzac,0005,Huajintlán," 99°25'27.001"" W","18°36'35.101"" N",0926,1788,922,866,69,43,26,1719,879,840,1651,853,798,1430,747,683,1328,700,628,1249,668,581,104,46,58,185,86,99,216,98,118,102,47,55,79,32,47,184,97,87,430,311,168,143,93.93,460,1098,230,2.54,1505,769,736,264,145,119,1603,830,773,40,20,20,2,2,0,0,0,0,2,2,0,2,0,2,6,        2,        1,        1,108,57,41,20,30,20,26,252,89,166,18,70,11,42,21,1423,33,9,24,4,0,4,4,0,4,54,22,32,70,37,33,2,1,1,59,39,20,64,38,26,117,61,56,194,113,81,46,21,25,436,219,217,431,230,201,8.93,8.9,8.96,796,319,477,629,427,202,791,319,472,5,0,5,224,1562,334,199,7,1,1024,2,2,0,436,759,235,1545,129,0,113,516,170,346,1788,512,1276,714,516,708,510,516,516,170,28,1788,3.47,1.09,498,18,193,323,31,136,349,514,2,494,436,22,403,283,504,4,505,11,485,0,503,346,7,471,275,136,160,24,55,285,445,101,181,411,177,219,20,10,40,56,321,20,4
17,Morelos,001,Amacuzac,0006,Miahuatlán (El Cuiji)," 99°21'02.489"" W","18°35'19.936"" N",0887,561,272,289,34,14,20,527,258,269,503,244,259,430,216,214,400,197,203,370,179,191,38,16,22,59,26,33,71,35,36,30,19,11,30,18,12,66,32,34,138,85,34,51,106.25,161,336,64,2.68,436,208,228,122,62,60,483,236,247,19,8,11,1,1,0,0,0,0,1,1,0,1,0,1,4,        0,        0,        0,43,19,21,10,9,8,7,95,37,55,4,23,1,9,8,422,23,11,12,1,1,0,8,4,4,18,7,11,9,3,6,4,1,3,49,22,27,47,21,26,53,21,32,86,51,35,8,5,3,123,63,60,68,29,39,7.11,7.16,7.07,281,99,182,149,117,32,278,99,179,3,0,3,65,496,99,13,0,13,371,0,1,0,108,285,37,366,131,0,64,148,21,127,561,68,493,199,148,192,141,146,148,46,5,561,3.79,1.27,140,6,61,85,14,35,97,143,3,144,10,2,104,112,124,13,125,21,124,1,124,81,4,135,84,21,46,36,12,79,103,17,51,106,45,50,3,4,27,27,95,12,3
