ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
18,Nayarit,000,Total de la entidad Nayarit,0000,Total de la Entidad,,,,1235456,623178,612278,59549,29305,30244,1174739,593277,581462,1130687,571583,559104,970696,493004,477692,903410,460032,443378,839831,428885,410946,66425,32618,33807,137618,67655,69963,159632,78278,81354,67286,32972,34314,63579,31147,32432,138177,69280,68897,317166,157395,81354,76041,98.25,330878,793713,109697,2.3,965314,487106,478208,252605,127449,125156,1064884,541323,523561,55706,27272,28434,69069,35187,33882,11473,6715,4758,57037,28201,28836,66001,9905,55540,89853,    10416,     5032,     5384,68216,33252,27918,10091,13188,11900,12564,156741,48994,96274,9179,29097,5530,34194,16655,1001873,23808,11535,12273,5356,2546,2810,5638,2347,3291,47402,24182,23220,47282,25217,22065,4873,2089,2784,40464,20831,19633,45126,22485,22641,85828,40428,45400,100742,49494,51248,29725,12749,16976,223665,114111,109554,386636,203796,182840,9.73,9.89,9.56,609556,250247,359309,356473,241810,114663,601969,248278,353691,7587,1969,5618,273039,960563,464297,122902,6565,6392,346383,21313,12946,5562,313489,531586,125256,1028909,98696,3862,101096,361270,118848,242422,1226176,372932,853244,482910,361596,474053,352739,360079,361270,77373,43941,1226176,3.39,0.94,348366,11279,112514,247153,17754,58219,283690,353523,6147,350333,306832,9339,242430,111446,345484,2577,346187,13432,340031,2415,344318,158382,6756,322557,264678,150052,164221,82182,84018,225455,324282,125693,108011,318700,169289,178574,60325,35983,20501,28481,167969,9171,*
18,Nayarit,000,Total de la entidad Nayarit,9998,Localidades de una vivienda,,,,5645,1813,3832,217,110,107,5409,1693,3716,5247,1622,3625,4730,1361,3369,4512,1259,3253,4329,1171,3158,239,108,131,440,224,216,495,253,242,218,102,116,183,88,95,538,183,355,813,711,254,457,211.36,1114,4028,484,*,3457,1446,2011,2009,324,1685,3486,1526,1960,223,79,144,1164,559,605,278,159,119,852,397,455,1104,242,828,1363,       50,       12,       38,224,106,101,21,60,21,37,575,215,360,35,119,22,111,38,4802,132,56,76,64,39,25,56,21,35,85,46,39,65,17,48,65,38,27,483,239,244,516,223,293,836,247,589,565,224,341,410,53,357,1004,283,721,1140,210,930,7.26,6.33,7.62,1946,484,1462,2740,874,1866,1917,480,1437,29,4,25,1202,4422,583,94,0,14,2071,140,43,1532,1370,2955,401,4473,436,76,629,1167,157,1010,4032,588,3444,1667,1173,1635,1141,1146,1167,149,345,4032,3.46,1.15,823,319,587,555,159,310,673,789,353,828,147,314,555,238,773,20,766,376,594,160,757,550,155,551,409,175,485,281,220,657,586,125,60,843,153,297,34,25,318,292,941,179,*
18,Nayarit,000,Total de la entidad Nayarit,9999,Localidades de dos viviendas,,,,2514,1216,1298,154,73,81,2350,1138,1212,2230,1072,1158,1820,865,955,1681,795,886,1535,715,820,183,101,82,347,172,175,363,181,182,139,70,69,146,80,66,270,121,149,536,351,152,199,106.74,823,1445,236,*,2134,1040,1094,330,149,181,2148,1035,1113,67,29,38,1006,540,466,332,214,118,665,320,345,939,288,643,1157,       13,        8,        5,132,56,52,23,38,24,31,280,88,179,31,63,13,49,32,2080,109,59,50,71,34,37,52,23,29,50,24,26,30,11,19,78,40,38,350,195,155,349,178,171,388,175,213,329,145,184,73,37,36,284,147,137,231,97,134,5.65,5.56,5.72,961,262,699,855,600,255,933,262,671,28,0,28,628,1863,231,47,3,3,1480,108,6,0,532,1097,190,1958,110,55,353,637,116,521,2513,496,2017,1094,638,1085,629,628,637,164,292,2513,3.95,1.42,383,242,305,321,89,198,338,378,247,367,61,258,222,87,316,24,321,304,223,131,309,374,154,230,157,70,221,89,54,310,253,51,20,369,59,138,14,8,235,251,545,168,*
18,Nayarit,001,Acaponeta,0000,Total del Municipio,,,,37232,18617,18615,1822,858,964,35395,17751,17644,34125,17136,16989,29314,14833,14481,27292,13839,13453,25360,12872,12488,1936,914,1022,4145,2004,2141,4775,2359,2416,2022,994,1028,1932,967,965,3897,1959,1938,8787,6032,3026,3006,99.99,9925,22921,4371,2.64,32447,16094,16353,4481,2375,2106,32819,16492,16327,1153,593,560,824,438,386,4,3,1,819,435,384,808,4,803,1570,       80,       29,       51,2214,1128,847,283,435,398,368,5195,1772,3247,328,998,188,986,547,29562,545,254,291,109,49,60,78,31,47,1625,834,791,1439,777,662,151,51,100,1551,719,832,1509,677,832,3098,1451,1647,2967,1463,1504,630,283,347,7027,3636,3391,10907,5697,5210,9.37,9.6,9.13,17414,6672,10742,11774,8140,3634,17245,6624,10621,169,48,121,6140,31065,10987,4941,79,1001,14554,190,129,187,9354,15829,4130,34415,1359,5,1418,10861,3629,7232,37092,11589,25503,14060,10864,13864,10668,10810,10861,2013,1183,37092,3.42,1.01,10403,399,3986,6815,644,2217,7941,10660,142,10457,7332,345,5686,3393,10188,115,10282,520,10074,58,10172,5301,237,9564,7421,3327,4034,2816,4262,6211,9444,2388,2946,9124,3367,5034,751,406,829,1265,6836,401,*
18,Nayarit,001,Acaponeta,0001,Acaponeta,"105°21'36.663"" W","22°29'21.795"" N",0028,19976,10345,9631,994,458,536,18967,9879,9088,18269,9534,8735,15693,8312,7381,14626,7796,6830,13530,7217,6313,1056,505,551,2218,1062,1156,2574,1261,1313,1067,516,551,1096,579,517,2170,1151,1019,5146,2818,1482,1336,93.1,5335,12629,1997,2.27,17136,8816,8320,2672,1452,1220,17643,9213,8430,572,306,266,244,131,113,1,1,0,242,130,112,242,1,240,620,       38,       14,       24,1029,540,410,112,188,207,156,2490,814,1526,149,441,94,436,225,16334,281,131,150,63,28,35,38,17,21,953,510,443,943,536,407,71,25,46,435,245,190,534,272,262,1006,532,474,1315,685,630,272,120,152,3411,1800,1611,7429,4003,3426,10.56,10.66,10.45,9322,4126,5196,6335,4174,2161,9197,4092,5105,125,34,91,3392,16559,7303,3614,28,569,5418,9,102,117,5230,8071,2391,18379,805,3,760,5765,2240,3525,19976,7318,12658,7321,5765,7169,5613,5743,5765,993,563,19976,3.47,0.99,5631,105,1984,3751,314,1071,4351,5722,14,5683,5621,53,3652,1521,5656,16,5664,72,5626,5,5648,2678,48,5372,4278,2311,2391,1380,2069,3242,5187,1925,2421,5113,2558,3093,687,353,339,359,2785,93,8
18,Nayarit,001,Acaponeta,0004,El Aguaje,"105°30'57.537"" W","22°30'12.822"" N",0005,476,238,238,19,7,12,457,231,226,446,225,221,397,195,202,372,180,192,355,173,182,20,10,10,40,26,14,56,36,20,25,15,10,17,7,10,28,14,14,87,117,62,55,100,104,288,84,3.3,385,182,203,81,49,32,432,217,215,9,5,4,3,2,1,0,0,0,3,2,1,3,0,3,7,        0,        0,        0,33,20,8,1,8,7,8,56,26,30,0,20,3,7,4,386,2,0,2,0,0,0,0,0,0,16,6,10,15,7,8,0,0,0,31,13,18,26,10,16,76,39,37,54,26,28,12,7,5,84,37,47,104,53,51,7.88,7.96,7.81,200,44,156,194,150,44,200,44,156,0,0,0,56,420,84,28,0,2,308,0,0,0,97,225,75,445,14,0,17,155,41,114,476,106,370,200,155,200,155,154,155,18,27,476,3.07,0.92,152,2,59,95,4,36,114,154,0,153,2,1,67,8,144,4,151,3,150,0,145,72,0,138,106,38,55,56,91,77,141,6,0,128,7,45,0,0,3,26,141,0,2
18,Nayarit,001,Acaponeta,0006,El Alacrán,"105°25'05.101"" W","22°28'17.723"" N",0009,39,19,20,6,2,4,33,17,16,30,15,15,26,13,13,24,12,12,23,12,11,4,2,2,3,2,1,4,2,2,2,1,1,1,0,1,8,4,4,10,4,2,2,105.26,15,20,4,3.23,38,19,19,1,0,1,29,15,14,1,0,1,4,3,1,0,0,0,4,3,1,4,0,4,15,        0,        0,        0,4,2,1,1,1,3,0,4,3,2,0,1,1,1,2,30,4,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,2,1,4,2,2,1,1,0,6,3,3,1,1,0,5,1,4,7,4,3,7.5,7.17,7.83,10,1,9,16,12,4,10,1,9,0,0,0,9,30,1,0,0,0,29,0,0,0,6,17,3,39,0,0,0,7,3,4,39,22,17,9,7,9,7,7,7,2,0,39,5.57,1.7,6,1,2,5,1,1,5,7,0,7,0,0,2,1,5,0,5,2,5,0,5,1,0,7,6,2,4,5,4,4,5,2,1,6,0,5,0,0,1,1,5,1,1
18,Nayarit,001,Acaponeta,0007,Amado Nervo,"105°20'51.542"" W","22°23'02.304"" N",0022,85,25,60,1,1,0,84,24,60,79,24,55,66,18,48,65,18,47,59,18,41,7,1,6,11,5,6,7,2,5,1,0,1,6,0,6,3,0,3,10,20,7,13,240,20,53,12,4.44,74,19,55,11,6,5,79,24,55,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,3,        0,        0,        0,2,0,0,1,2,0,0,20,7,17,1,10,3,7,0,63,1,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,8,4,4,11,4,7,13,2,11,11,4,7,2,0,2,20,6,14,4,1,3,6.06,5.83,6.15,37,2,35,29,16,13,37,2,35,0,0,0,14,71,28,5,0,0,40,1,0,0,22,33,11,81,1,0,3,28,5,23,85,18,67,49,28,49,28,28,28,17,4,85,3.04,1.2,23,5,12,16,5,8,15,27,1,28,1,0,9,22,25,2,26,2,26,0,25,14,0,23,17,7,10,10,17,13,23,1,3,21,0,6,0,0,1,6,27,0,1
18,Nayarit,001,Acaponeta,0009,El Antigüe,"105°29'29.807"" W","22°28'39.402"" N",0009,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
18,Nayarit,001,Acaponeta,0010,La Bayona,"105°26'46.421"" W","22°31'11.894"" N",0010,455,229,226,13,10,3,442,219,223,437,218,219,396,196,200,375,184,191,356,175,181,10,2,8,36,21,15,46,28,18,21,12,9,19,9,10,40,15,25,85,150,81,69,98.69,80,247,128,3.39,371,172,199,76,52,24,433,215,218,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,23,15,3,1,6,2,1,84,46,48,7,18,4,5,3,347,2,0,2,3,1,2,0,0,0,19,9,10,23,8,15,0,0,0,32,20,12,16,10,6,58,35,23,54,32,22,6,1,5,69,35,34,155,62,93,9.29,8.62,9.94,180,50,130,216,146,70,180,50,130,0,0,0,11,444,103,156,0,0,200,0,1,0,99,201,96,400,25,0,30,161,54,107,455,110,345,247,161,247,161,161,161,46,40,455,2.83,0.69,161,0,37,124,1,18,142,160,1,160,156,1,114,12,160,1,161,0,160,0,161,81,1,152,124,52,58,41,61,109,156,22,1,144,18,111,0,0,1,16,131,1,2
