ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
23,Quintana Roo,000,Total de la entidad Quintana Roo,0000,Total de la Entidad,,,,1857985,921206,936779,84393,41380,43013,1752570,869305,883265,1689232,838112,851120,1470411,730429,739982,1379563,685528,694035,1293235,642740,650495,95148,46908,48240,187011,91968,95043,216096,106282,109814,90848,44901,45947,86328,42788,43540,226210,112048,114162,538528,131052,66985,64067,101.69,457400,1297832,81731,1.76,848545,420372,428173,945101,468054,477047,1479287,735917,743370,187683,92762,94921,204949,96611,108338,7307,4691,2616,195543,91006,104537,203317,7082,194142,423166,    52265,    25319,    26946,67005,28214,32184,12216,12878,12882,12641,164117,41086,110750,11005,25762,6796,26388,20352,1592700,41928,20494,21434,11144,5406,5738,7641,3678,3963,65030,32568,32462,61264,30779,30485,5907,2536,3371,42224,25064,17160,53416,29978,23438,81719,42975,38744,140637,74518,66119,33632,15322,18310,368696,181652,187044,655583,317003,338580,10.24,10.12,10.36,1006817,406159,600658,459372,322432,136940,990307,400625,589682,16510,5534,10976,468580,1365328,827522,106142,6087,10764,383986,7433,33527,8445,482478,833677,152246,1016131,384207,4492,427109,575489,187270,388219,1852928,583839,1269089,711722,575635,648282,512195,574124,575489,86594,49493,1852928,3.22,1.14,554371,12803,256330,310988,92557,144072,330684,562025,5335,558100,514593,9234,520178,143258,557821,2387,556294,10860,546945,973,554645,283936,5874,500455,428937,223563,220338,107092,150328,331680,495167,213846,158739,526202,319194,267556,131827,55902,43642,36378,221620,12239,*
23,Quintana Roo,000,Total de la entidad Quintana Roo,9998,Localidades de una vivienda,,,,4181,1469,2712,151,65,86,4030,1404,2626,3936,1353,2583,3610,1190,2420,3467,1121,2346,3332,1060,2272,146,79,67,274,135,139,320,159,161,143,69,74,135,61,74,463,168,295,738,683,175,508,184.62,714,3007,460,*,1442,585,857,2553,802,1751,2981,1140,1841,468,190,278,873,269,604,35,21,14,765,248,517,868,35,760,1205,      130,       48,       82,238,117,109,32,51,36,50,529,183,316,46,132,21,111,47,3383,68,38,30,55,24,31,45,27,18,80,40,40,83,30,53,38,17,21,365,126,239,502,161,341,563,162,401,603,179,424,92,28,64,853,264,589,792,295,497,7.17,7.64,6.95,2767,664,2103,831,525,306,2757,660,2097,10,4,6,1820,2357,646,126,8,21,1418,50,96,16,968,2207,431,2003,1092,24,1053,1464,181,1283,3729,555,3174,1938,1468,1883,1413,1447,1464,101,369,3729,2.55,1.12,1245,202,1023,424,526,452,469,1037,410,1171,243,276,1093,373,1235,63,1243,204,894,88,1204,672,116,760,588,203,536,409,502,776,726,215,65,1097,367,394,92,16,416,335,1041,186,*
23,Quintana Roo,000,Total de la entidad Quintana Roo,9999,Localidades de dos viviendas,,,,958,419,539,40,20,20,903,391,512,878,381,497,758,323,435,730,305,425,680,286,394,41,16,25,104,52,52,93,48,45,28,18,10,50,19,31,117,55,62,219,123,38,85,128.64,213,654,76,*,374,181,193,543,217,326,758,331,427,108,46,62,146,57,89,9,4,5,137,53,84,145,9,136,257,       23,        9,       14,47,20,20,6,12,8,8,114,39,75,13,22,7,23,15,770,23,7,16,13,5,8,5,4,1,28,13,15,23,12,11,7,3,4,42,16,26,59,23,36,104,37,67,120,45,75,24,14,10,187,74,113,222,102,120,8.31,8.58,8.12,578,195,383,180,128,52,569,194,375,9,1,8,362,580,189,37,1,1,328,1,30,1,208,473,77,479,232,1,230,316,51,265,958,165,793,558,316,538,296,307,316,42,200,958,3.03,1.37,269,32,199,102,117,72,112,240,61,252,85,49,221,63,267,10,267,34,208,13,262,115,17,184,156,74,130,103,97,168,178,69,9,254,116,100,27,11,70,45,168,30,*
23,Quintana Roo,001,Cozumel,0000,Total del Municipio,,,,88626,44211,44415,3889,1942,1947,84710,42257,42453,81608,40772,40836,71383,35674,35709,66851,33369,33482,62371,31144,31227,4616,2237,2379,8711,4346,4365,10388,5201,5187,4532,2305,2227,4480,2225,2255,9881,4888,4993,24952,7818,3958,3860,100.46,21748,61978,4873,1.77,48133,24097,24036,38695,19179,19516,75724,37942,37782,5119,2501,2618,6493,2820,3673,71,35,36,6376,2770,3606,6483,70,6367,18431,     1414,      683,      731,3362,1617,1600,679,696,748,692,8517,2341,5871,626,1418,435,1391,978,76153,1928,911,1017,483,242,241,318,160,158,3637,1873,1764,2688,1452,1236,262,109,153,1761,996,765,2229,1172,1057,3726,1928,1798,6723,3389,3334,1492,628,864,19225,9545,9680,30972,15368,15604,10.15,10.13,10.17,48447,19963,28484,22809,15646,7163,47690,19732,27958,757,231,526,19274,69237,44767,6819,168,1337,14589,167,1920,392,23488,39702,8146,59310,13676,226,15177,26413,8939,17474,88376,29947,58429,31078,26424,30178,25524,26324,26413,2579,2075,88376,3.35,1.24,26074,221,14028,12272,6650,7067,12582,26189,111,26188,23644,112,24620,9628,26188,21,26205,92,26051,16,26164,6359,151,24090,20033,11061,10814,15066,9301,16587,23915,11117,10260,24637,18534,14886,7631,2728,1392,1301,7035,383,*
23,Quintana Roo,001,Cozumel,0001,Cozumel," 86°57'27.318"" W","20°30'13.623"" N",0000,84519,42292,42227,3695,1848,1847,80797,40432,40365,77869,39020,38849,68136,34170,33966,63830,31982,31848,59537,29840,29697,4367,2126,2241,8294,4136,4158,9883,4940,4943,4306,2188,2118,4293,2142,2151,9368,4625,4743,23842,7515,3843,3672,99.85,20662,59148,4682,1.76,46063,23117,22946,36753,18293,18460,72250,36309,35941,4869,2387,2482,6074,2671,3403,60,28,32,5976,2630,3346,6067,60,5969,17369,     1323,      637,      686,3233,1557,1532,648,667,717,662,8146,2245,5621,598,1362,422,1340,941,72567,1793,860,933,445,222,223,289,144,145,3503,1807,1696,2575,1385,1190,241,98,143,1645,947,698,2041,1102,939,3455,1825,1630,6288,3214,3074,1420,605,815,18207,9056,9151,30040,14900,15140,10.22,10.18,10.26,46308,19218,27090,21706,14889,6817,45762,19049,26713,546,169,377,18085,66319,42963,6648,162,1312,13776,156,1817,375,22534,37722,7833,57139,12514,214,14423,25178,8632,16546,84304,28882,55422,29179,25186,28342,24349,25098,25178,2436,1557,84304,3.35,1.23,24903,168,13269,11805,6220,6667,12186,25026,48,25006,23580,68,23639,9345,25025,5,25036,35,24950,8,25009,6101,114,23154,19199,10844,10319,14279,8907,15751,22948,10865,10208,23579,18017,14511,7462,2677,1257,1153,6380,317,10
23,Quintana Roo,001,Cozumel,0057,Las Palmitas," 87°01'04.658"" W","20°23'02.668"" N",0000,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
23,Quintana Roo,001,Cozumel,0067,El Cedral," 86°59'33.133"" W","20°22'03.228"" N",0000,55,27,28,0,0,0,55,27,28,50,24,26,45,23,22,41,20,21,41,20,21,6,3,3,4,1,3,7,4,3,4,3,1,0,0,0,3,3,0,12,12,5,7,103.7,14,30,11,1.78,17,10,7,35,15,20,34,17,17,15,7,8,10,3,7,1,0,1,9,3,6,9,0,9,12,        5,        3,        2,1,1,0,0,0,0,0,10,4,4,2,3,2,3,4,40,4,2,2,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,13,5,8,6,3,3,1,0,1,2,0,2,16,10,6,8.68,9.4,8,34,15,19,11,8,3,34,15,19,0,0,0,16,39,22,5,0,2,11,0,0,1,13,26,6,49,0,2,4,23,5,18,55,10,45,204,23,204,23,23,23,14,167,55,2.39,0.8,23,0,12,11,5,5,13,23,0,23,0,0,22,9,23,0,23,0,23,0,23,5,0,21,13,13,18,5,11,14,20,8,0,22,8,11,5,1,2,1,13,0,1
23,Quintana Roo,001,Cozumel,0122,Punta Morena," 86°51'28.174"" W","20°24'11.534"" N",0000,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
23,Quintana Roo,001,Cozumel,0165,Buenavista," 86°55'50.855"" W","20°20'03.545"" N",0000,7,0,7,0,0,0,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,N/A,0,7,0,N/A,0,0,0,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,4,0,4,0,0,0,7.29,0.0,7.29,7,0,7,0,0,0,7,0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,7,0,0,7,0,0,0,4,0,4,7,0,7,4,4,4,4,4,4,0,0,7,1.75,1.75,4,0,4,0,4,0,0,4,0,4,0,0,4,4,4,0,4,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1
23,Quintana Roo,001,Cozumel,0232,Santa Rita," 86°54'17.000"" W","20°28'26.000"" N",0007,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
