variable,division
POBTOT,no se divide
POBFEM,no se divide
POBMAS,no se divide
P_0A2,no se divide
P_0A2_F,no se divide
P_0A2_M,no se divide
P_3YMAS,no se divide
P_3YMAS_F,no se divide
P_3YMAS_M,no se divide
P_5YMAS,no se divide
P_5YMAS_F,no se divide
P_5YMAS_M,no se divide
P_12YMAS,no se divide
P_12YMAS_F,no se divide
P_12YMAS_M,no se divide
P_15YMAS,no se divide
P_15YMAS_F,no se divide
P_15YMAS_M,no se divide
P_18YMAS,no se divide
P_18YMAS_F,no se divide
P_18YMAS_M,no se divide
P_3A5,no se divide
P_3A5_F,no se divide
P_3A5_M,no se divide
P_6A11,no se divide
P_6A11_F,no se divide
P_6A11_M,no se divide
P_8A14,no se divide
P_8A14_F,no se divide
P_8A14_M,no se divide
P_12A14,no se divide
P_12A14_F,no se divide
P_12A14_M,no se divide
P_15A17,no se divide
P_15A17_F,no se divide
P_15A17_M,no se divide
P_18A24,no se divide
P_18A24_F,no se divide
P_18A24_M,no se divide
P_15A49_F,no se divide
P_60YMAS,no se divide
P_60YMAS_F,no se divide
P_60YMAS_M,no se divide
REL_H_M,no se divide
POB0_14,no se divide
POB15_64,no se divide
POB65_MAS,no se divide
PROM_HNV,no se divide
PNACENT,no se divide
PNACENT_F,PNACENT
PNACENT_M,PNACENT
PNACOE,no se divide
PNACOE_F,PNACOE
PNACOE_M,PNACOE
PRES2015,no se divide
PRES2015_F,PRES2015
PRES2015_M,PRES2015
PRESOE15,no se divide
PRESOE15_F,PRESOE15
PRESOE15_M,PRESOE15
P3YM_HLI,P_3YMAS
P3YM_HLI_F,P_3YMAS_F
P3YM_HLI_M,P_3YMAS_M
P3HLINHE,P_3YMAS
P3HLINHE_F,P_3YMAS_F
P3HLINHE_M,P_3YMAS_M
P3HLI_HE,P_3YMAS
P3HLI_HE_F,P_3YMAS_F
P3HLI_HE_M,P_3YMAS_M
P5_HLI,P_5YMAS
P5_HLI_NHE,P_5YMAS
P5_HLI_HE,P_5YMAS
PHOG_IND,POBHOG
POB_AFRO,POBTOT
POB_AFRO_F,POBFEM
POB_AFRO_M,POBMAS
PCON_DISC,POBTOT
PCDISC_MOT,POBTOT
PCDISC_VIS,POBTOT
PCDISC_LENG,POBTOT
PCDISC_AUD,POBTOT
PCDISC_MOT2,POBTOT
PCDISC_MEN,POBTOT
PCON_LIMI,POBTOT
PCLIM_CSB,POBTOT
PCLIM_VIS,POBTOT
PCLIM_HACO,POBTOT
PCLIM_OAUD,POBTOT
PCLIM_MOT2,POBTOT
PCLIM_RE_CO,POBTOT
PCLIM_PMEN,POBTOT
PSIND_LIM,POBTOT
P3A5_NOA,P_3A5
P3A5_NOA_F,P_3A5_F
P3A5_NOA_M,P_3A5_M
P6A11_NOA,P_6A11
P6A11_NOAF,P_6A11_F
P6A11_NOAM,P_6A11_M
P12A14NOA,P_12A14
P12A14NOAF,P_12A14_F
P12A14NOAM,P_12A14_M
P15A17A,P_15A17
P15A17A_F,P_15A17_F
P15A17A_M,P_15A17_M
P18A24A,P_18A24
P18A24A_F,P_18A24_F
P18A24A_M,P_18A24_M
P8A14AN,P_8A14
P8A14AN_F,P_8A14_F
P8A14AN_M,P_8A14_M
P15YM_AN,P_15YMAS
P15YM_AN_F,P_15YMAS_F
P15YM_AN_M,P_15YMAS_M
P15YM_SE,P_15YMAS
P15YM_SE_F,P_15YMAS_F
P15YM_SE_M,P_15YMAS_M
P15PRI_IN,P_15YMAS
P15PRI_INF,P_15YMAS_F
P15PRI_INM,P_15YMAS_M
P15PRI_CO,P_15YMAS
P15PRI_COF,P_15YMAS_F
P15PRI_COM,P_15YMAS_M
P15SEC_IN,P_15YMAS
P15SEC_INF,P_15YMAS_F
P15SEC_INM,P_15YMAS_M
P15SEC_CO,P_15YMAS
P15SEC_COF,P_15YMAS_F
P15SEC_COM,P_15YMAS_M
P18YM_PB,P_18YMAS
P18YM_PB_F,P_18YMAS_F
P18YM_PB_M,P_18YMAS_M
GRAPROES,no se divide
GRAPROES_F,no se divide
GRAPROES_M,no se divide
PEA,P_12YMAS
PEA_F,P_12YMAS_F
PEA_M,P_12YMAS_M
PE_INAC,P_12YMAS
PE_INAC_F,P_12YMAS_F
PE_INAC_M,P_12YMAS_M
POCUPADA,P_12YMAS
POCUPADA_F,P_12YMAS_F
POCUPADA_M,P_12YMAS_M
PDESOCUP,P_12YMAS
PDESOCUP_F,P_12YMAS_F
PDESOCUP_M,P_12YMAS_M
PSINDER,POBTOT
PDER_SS,POBTOT
PDER_IMSS,POBTOT
PDER_ISTE,POBTOT
PDER_ISTEE,POBTOT
PAFIL_PDOM,POBTOT
PDER_SEGP,POBTOT
PDER_IMSSB,POBTOT
PAFIL_IPRIV,POBTOT
PAFIL_OTRAI,POBTOT
P12YM_SOLT,P_12YMAS
P12YM_CASA,P_12YMAS
P12YM_SEPA,P_12YMAS
PCATOLICA,POBTOT
PRO_CRIEVA,POBTOT
POTRAS_REL,POBTOT
PSIN_RELIG,POBTOT
TOTHOG,no se divide
HOGJEF_F,TOTHOG
HOGJEF_M,TOTHOG
POBHOG,no se divide
PHOGJEF_F,POBHOG
PHOGJEF_M,POBHOG
VIVTOT,no se divide
TVIVHAB,no se divide
TVIVPAR,no se divide
VIVPAR_HAB,TVIVPAR
VIVPARH_CV,no se divide
TVIVPARHAB,no se divide
VIVPAR_DES,TVIVPAR
VIVPAR_UT,TVIVPAR
OCUPVIVPAR,no se divide
PROM_OCUP,no se divide
PRO_OCUP_C,no se divide
VPH_PISODT,TVIVPARHAB
VPH_PISOTI,TVIVPARHAB
VPH_1DOR,TVIVPARHAB
VPH_2YMASD,TVIVPARHAB
VPH_1CUART,TVIVPARHAB
VPH_2CUART,TVIVPARHAB
VPH_3YMASC,TVIVPARHAB
VPH_C_ELEC,TVIVPARHAB
VPH_S_ELEC,TVIVPARHAB
VPH_AGUADV,TVIVPARHAB
VPH_AEASP,TVIVPARHAB
VPH_AGUAFV,TVIVPARHAB
VPH_TINACO,TVIVPARHAB
VPH_CISTER,TVIVPARHAB
VPH_EXCSA,TVIVPARHAB
VPH_LETR,TVIVPARHAB
VPH_DRENAJ,TVIVPARHAB
VPH_NODREN,TVIVPARHAB
VPH_C_SERV,TVIVPARHAB
VPH_NDEAED,TVIVPARHAB
VPH_DSADMA,TVIVPAR
VPH_NDACMM,TVIVPARHAB
VPH_SNBIEN,TVIVPARHAB
VPH_REFRI,TVIVPARHAB
VPH_LAVAD,TVIVPARHAB
VPH_HMICRO,TVIVPARHAB
VPH_AUTOM,TVIVPARHAB
VPH_MOTO,TVIVPARHAB
VPH_BICI,TVIVPARHAB
VPH_RADIO,TVIVPARHAB
VPH_TV,TVIVPARHAB
VPH_PC,TVIVPARHAB
VPH_TELEF,TVIVPARHAB
VPH_CEL,TVIVPARHAB
VPH_INTER,TVIVPARHAB
VPH_STVP,TVIVPARHAB
VPH_SPMVPI,TVIVPARHAB
VPH_CVJ,TVIVPARHAB
VPH_SINRTV,TVIVPARHAB
VPH_SINLTC,TVIVPARHAB
VPH_SINCINT,TVIVPARHAB
VPH_SINTIC,TVIVPARHAB
TAMLOC,no se divide
