ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
29,Tlaxcala,000,Total de la entidad Tlaxcala,0000,Total de la Entidad,,,,1342977,693083,649894,63959,31786,32173,1258093,650791,607302,1211592,627802,583790,1046163,546384,499779,974136,510778,463358,900912,475024,425888,70507,34878,35629,141423,69529,71894,166764,82044,84720,72027,35606,36421,73224,35754,37470,161920,81120,80800,364191,145886,78216,67670,93.77,347916,874755,99381,2.13,1106683,564524,542159,210269,115481,94788,1166043,605307,560736,41063,21219,19844,27174,13755,13419,440,302,138,26536,13378,13158,26980,437,26346,67824,    18094,     9161,     8933,54323,24005,24868,8124,12768,10697,9576,143111,43051,95180,8720,32636,7425,27233,13090,1117855,27114,13224,13890,5051,2348,2703,5413,2378,3035,55208,27919,27289,53377,27439,25938,2747,1195,1552,32613,20731,11882,33810,20709,13101,59670,33121,26549,144313,76419,67894,23907,10013,13894,279850,145682,134168,395731,205422,190309,9.83,9.75,9.92,638352,258558,379794,405251,286686,118565,621965,254030,367935,16387,4528,11859,356641,964599,322989,79441,5438,6488,531286,4519,15440,8662,357182,571309,117232,1142076,84419,1699,92314,341577,102899,238678,1340856,361497,979359,424275,341656,409271,326652,340954,341577,60086,22533,1340856,3.93,1,329480,6252,98741,237013,15835,47369,272551,333902,1859,332426,308645,3332,282691,98211,325120,5701,329263,6476,326104,326,326011,189037,3505,258276,198163,104917,134337,28213,108373,246504,312057,96501,97434,289686,131845,124796,27291,18744,11774,34553,183348,5272,*
29,Tlaxcala,000,Total de la entidad Tlaxcala,9998,Localidades de una vivienda,,,,1473,641,832,65,29,36,1408,612,796,1361,588,773,1216,523,693,1147,493,654,1071,465,606,68,33,35,124,56,68,141,64,77,69,30,39,76,28,48,137,65,72,316,292,100,192,129.8,326,940,207,*,1190,518,672,277,122,155,1276,558,718,76,29,47,34,15,19,0,0,0,34,15,19,33,0,33,60,       37,       12,       25,89,47,34,12,22,16,16,208,81,133,9,52,13,42,14,1168,31,14,17,8,4,4,13,6,7,38,12,26,25,16,9,5,2,3,125,71,54,135,70,65,166,62,104,265,115,150,41,18,23,276,117,159,240,103,137,7.3,7.17,7.4,859,261,598,352,261,91,846,261,585,13,0,13,516,955,155,31,3,3,727,2,33,8,335,750,131,1282,99,0,87,447,64,383,1473,235,1238,652,447,651,446,447,447,88,117,1473,3.3,0.95,384,63,207,240,50,96,301,311,136,296,144,151,315,169,287,69,312,134,210,56,282,186,28,184,119,65,230,82,145,286,286,48,24,361,52,120,8,8,94,86,366,46,*
29,Tlaxcala,000,Total de la entidad Tlaxcala,9999,Localidades de dos viviendas,,,,815,387,428,42,18,24,773,369,404,734,349,385,649,312,337,603,286,317,556,266,290,49,25,24,75,32,43,98,53,45,46,26,20,47,20,27,102,56,46,197,110,42,68,110.59,212,534,69,*,678,311,367,133,75,58,703,338,365,30,11,19,31,9,22,1,1,0,30,8,22,30,1,29,59,       16,        9,        7,39,15,15,5,7,8,9,85,30,56,4,20,6,14,7,689,22,12,10,8,2,6,10,3,7,18,11,7,12,7,5,5,2,3,59,30,29,55,28,27,82,35,47,148,64,84,16,9,7,170,77,93,123,67,56,7.52,7.66,7.39,423,138,285,226,174,52,419,135,284,4,3,1,242,572,73,16,1,1,466,1,2,14,233,356,60,769,20,0,25,210,43,167,815,182,633,300,210,299,209,210,210,50,40,815,3.88,1.15,191,19,90,120,25,42,143,153,57,151,83,59,142,67,141,33,156,54,119,23,142,108,18,101,77,38,91,31,68,132,133,23,10,155,24,56,3,2,46,53,177,28,*
29,Tlaxcala,001,Amaxac de Guerrero,0000,Total del Municipio,,,,11403,5849,5554,458,235,223,10934,5608,5326,10571,5451,5120,9168,4795,4373,8609,4532,4077,7992,4253,3739,555,258,297,1211,555,656,1383,642,741,559,263,296,617,279,338,1316,672,644,3165,1380,734,646,94.96,2783,7666,943,2.04,9750,4913,4837,1612,916,696,10163,5236,4927,390,211,179,139,61,78,1,1,0,138,60,78,139,1,138,429,      113,       53,       60,473,226,209,72,123,115,96,1293,428,813,75,331,85,302,95,9593,216,99,117,37,15,22,28,10,18,519,243,276,567,313,254,17,7,10,128,92,36,118,79,39,358,222,136,963,537,426,189,82,107,2057,1032,1025,4553,2396,2157,10.89,10.78,11.01,5521,2353,3168,3628,2431,1197,5389,2316,3073,132,37,95,2887,8500,3928,1230,32,66,3155,7,107,81,3234,4882,1048,8968,1535,8,872,3009,888,2121,11396,2960,8436,3767,3010,3733,2976,3005,3009,525,232,11396,3.79,0.92,2974,27,847,2154,149,362,2490,2994,7,2991,2962,10,2662,710,2938,18,2956,45,2947,1,2940,1586,21,2447,1805,1007,1299,261,1026,2250,2796,1108,1059,2699,1575,1285,318,189,99,193,1227,29,*
29,Tlaxcala,001,Amaxac de Guerrero,0001,Amaxac de Guerrero," 98°10'10.450"" W","19°21'01.029"" N",2299,10417,5346,5071,404,208,196,10002,5132,4870,9690,4999,4691,8427,4416,4011,7915,4176,3739,7354,3920,3434,481,222,259,1094,494,600,1249,577,672,512,240,272,561,256,305,1223,628,595,2902,1279,682,597,94.86,2491,7046,869,2.01,8893,4481,4412,1484,845,639,9317,4805,4512,355,190,165,136,59,77,1,1,0,135,58,77,136,1,135,412,      113,       53,       60,452,214,198,67,116,108,91,1212,396,764,72,310,80,283,92,8709,188,85,103,32,10,22,22,7,15,475,226,249,541,298,243,14,4,10,112,81,31,103,68,35,328,205,123,856,488,368,169,75,94,1852,925,927,4274,2245,2029,10.97,10.85,11.11,5171,2243,2928,3241,2166,1075,5054,2211,2843,117,32,85,2712,7689,3690,1182,31,65,2631,7,100,81,3024,4458,941,8102,1453,8,834,2739,808,1931,10410,2713,7697,3436,2740,3403,2707,2735,2739,477,219,10410,3.8,0.91,2706,25,725,2006,120,320,2291,2725,6,2721,2695,10,2447,651,2686,14,2698,33,2690,1,2685,1428,15,2234,1641,926,1194,244,1005,2058,2545,1032,1034,2456,1453,1164,308,176,89,169,1106,23,7
29,Tlaxcala,001,Amaxac de Guerrero,0002,San Damián Tlacocalpan," 98°13'09.458"" W","19°22'23.293"" N",2505,972,496,476,54,27,27,918,469,449,868,446,422,733,376,357,686,353,333,630,330,300,73,35,38,112,58,54,129,62,67,47,23,24,56,23,33,91,44,47,261,101,52,49,95.97,286,612,74,2.41,847,426,421,124,70,54,833,425,408,35,21,14,2,1,1,0,0,0,2,1,1,2,0,2,12,        0,        0,        0,21,12,11,5,7,7,5,80,32,48,3,21,5,19,3,871,27,13,14,5,5,0,6,3,3,44,17,27,26,15,11,2,2,0,15,10,5,14,10,4,30,17,13,105,48,57,20,7,13,203,106,97,276,151,125,9.95,9.99,9.9,344,109,235,385,263,122,329,104,225,15,5,10,170,802,238,48,1,1,515,0,7,0,207,420,106,852,82,0,38,267,79,188,972,243,729,327,267,326,266,267,267,47,13,972,3.64,1.01,265,2,122,145,29,41,197,266,1,267,264,0,212,58,249,4,255,12,254,0,252,155,6,210,162,81,105,17,20,189,248,76,25,240,121,120,10,13,10,24,119,6,3
29,Tlaxcala,001,Amaxac de Guerrero,0012,La Preciosa [Rancho]," 98°12'31.351"" W","19°22'39.056"" N",2405,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
29,Tlaxcala,001,Amaxac de Guerrero,0013,Amintla," 98°13'41.153"" W","19°23'01.707"" N",2478,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
29,Tlaxcala,001,Amaxac de Guerrero,9998,Localidades de una vivienda,,,,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
29,Tlaxcala,001,Amaxac de Guerrero,9999,Localidades de dos viviendas,,,,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
