ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC
32,Zacatecas,000,Total de la entidad Zacatecas,0000,Total de la Entidad,,,,1622138,831080,791058,88433,43820,44613,1531847,786319,745528,1468535,754957,713578,1251221,647354,603867,1161476,603251,558225,1075596,560838,514758,95323,47064,48259,185303,91901,93402,214037,105610,108427,89745,44103,45642,85880,42413,43467,185566,94884,90682,417958,199779,103595,96184,95.18,458804,1019736,141740,2.46,1423651,729334,694317,177107,90937,86170,1422921,735243,687678,32299,15941,16358,5005,2265,2740,187,114,73,4768,2132,2636,4781,128,4606,8299,    15951,     7926,     8025,95934,47599,40487,13056,19700,18849,16640,200250,65559,127640,10474,39210,8833,37728,19145,1315501,31256,15258,15998,6040,2826,3214,8520,3637,4883,58485,30351,28134,59916,31879,28037,3915,1588,2327,43578,22632,20946,48093,23897,24196,128403,59344,69059,161353,77407,83946,36117,15302,20815,358262,199550,158712,388665,205343,183322,9.25,9.4,9.08,701031,252769,448262,545142,393260,151882,685806,249859,435947,15225,2910,12315,326238,1293059,526465,109229,4721,5041,640844,14392,7672,3787,406398,714715,129779,1497371,74177,694,46465,442623,123066,319557,1617376,392146,1225230,607828,442835,598567,433574,442263,442623,122979,42014,1617376,3.65,0.91,435827,5878,120202,321507,9990,45369,386348,439161,2557,433505,351593,8210,394034,86596,421392,8006,425727,15940,419715,757,420837,149089,2344,408430,372474,233328,267271,90766,136355,314535,416192,139371,138052,372814,204945,214337,51656,37622,13243,43316,214181,5383,*
32,Zacatecas,000,Total de la entidad Zacatecas,9998,Localidades de una vivienda,,,,5186,2291,2895,283,135,148,4902,2156,2746,4703,2069,2634,4100,1780,2320,3805,1660,2145,3523,1537,1986,304,135,169,498,241,257,637,292,345,295,120,175,282,123,159,568,249,319,1052,933,381,552,126.36,1380,3118,687,*,4435,1942,2493,681,316,365,4386,1961,2425,181,82,99,114,45,69,3,1,2,109,44,65,107,2,103,159,       46,       13,       33,352,177,137,63,79,69,55,707,302,405,51,185,44,148,58,4100,159,67,92,60,28,32,78,29,49,137,59,78,125,44,81,38,20,18,402,160,242,483,186,297,805,303,502,799,326,473,166,65,101,916,494,422,571,252,319,6.52,6.96,6.18,2649,684,1965,1443,1094,349,2620,679,1941,29,5,24,1721,3456,699,106,4,5,2586,49,35,7,1301,2485,313,4836,188,5,149,1429,192,1237,5084,726,4358,2367,1432,2336,1401,1424,1429,655,280,5084,3.56,0.98,1319,104,611,812,66,289,1068,1191,232,1131,184,292,973,276,1027,100,1059,364,885,97,1022,306,51,994,802,417,932,574,462,1002,1090,150,126,1099,223,371,36,32,180,281,1140,101,*
32,Zacatecas,000,Total de la entidad Zacatecas,9999,Localidades de dos viviendas,,,,3297,1515,1782,196,105,91,3101,1410,1691,2998,1359,1639,2615,1178,1437,2474,1100,1374,2356,1042,1314,161,81,80,325,151,174,351,178,173,141,78,63,118,58,60,365,157,208,677,586,259,327,117.62,823,2022,452,*,2686,1268,1418,535,223,312,2697,1291,1406,243,62,181,94,39,55,2,1,1,92,38,54,88,0,88,99,       46,       16,       30,226,117,91,29,58,38,39,440,206,239,28,98,26,100,49,2606,75,33,42,16,9,7,32,17,15,58,28,30,53,24,29,17,10,7,211,100,111,239,111,128,501,196,305,474,204,270,65,29,36,719,365,354,447,185,262,7.05,7.14,6.97,1474,371,1103,1001,804,197,1456,369,1087,18,2,16,897,2395,472,42,1,160,1690,35,11,2,768,1630,217,3041,134,0,118,904,152,752,3108,466,2642,1634,906,1623,895,904,904,571,157,3108,3.44,0.92,872,32,371,533,45,156,703,795,109,713,129,191,645,144,694,49,702,202,594,50,669,206,30,690,573,330,634,310,254,636,723,125,94,678,169,267,19,19,91,193,681,50,*
32,Zacatecas,001,Apozol,0000,Total del Municipio,,,,6260,3219,3041,308,149,159,5952,3070,2882,5744,2964,2780,4944,2555,2389,4622,2409,2213,4301,2255,2046,313,167,146,695,348,347,807,395,412,322,146,176,321,154,167,650,340,310,1510,1100,584,516,94.47,1638,3754,868,2.84,5665,2913,2752,485,249,236,5553,2898,2655,91,46,45,18,11,7,1,1,0,17,10,7,17,0,17,26,        9,        7,        2,515,310,176,53,113,82,70,1096,466,702,26,268,55,166,58,4628,105,56,49,21,9,12,39,14,25,210,111,99,171,100,71,10,8,2,250,128,122,401,198,203,803,389,414,891,417,474,120,69,51,1321,762,559,956,496,460,7.5,7.63,7.37,2495,837,1658,2424,1711,713,2465,834,1631,30,3,27,792,5464,971,342,6,3,4081,53,67,29,1537,2888,519,6025,142,6,81,1812,597,1215,6260,1815,4445,2943,1812,2941,1810,1810,1812,657,474,6260,3.45,0.9,1763,47,624,1186,42,205,1563,1791,19,1791,1253,19,1685,44,1777,4,1784,26,1765,4,1776,772,8,1740,1570,881,945,386,583,1162,1666,391,501,1582,527,1024,55,74,71,120,1158,24,*
32,Zacatecas,001,Apozol,0001,Apozol,"103°05'28.284"" W","21°28'15.157"" N",1269,2608,1352,1256,124,65,59,2484,1287,1197,2410,1252,1158,2037,1059,978,1911,1000,911,1770,932,838,129,66,63,318,162,156,353,181,172,126,59,67,141,68,73,264,138,126,642,440,239,201,92.9,697,1576,335,2.7,2253,1170,1083,287,144,143,2321,1218,1103,37,20,17,1,1,0,0,0,0,1,1,0,1,0,1,0,        6,        5,        1,169,89,64,22,39,29,29,528,221,344,9,131,28,80,23,1898,34,19,15,7,3,4,12,4,8,102,57,45,92,47,45,5,4,1,99,52,47,124,67,57,290,144,146,345,172,173,52,31,21,504,290,214,538,266,272,8.33,8.27,8.4,1057,392,665,973,665,308,1051,392,659,6,0,6,313,2293,439,237,3,3,1618,1,5,4,640,1182,215,2507,53,0,46,760,260,500,2608,773,1835,1138,760,1136,758,759,760,222,156,2608,3.43,0.89,738,21,248,511,18,94,647,754,5,755,739,4,719,25,751,0,755,4,749,0,751,331,4,734,667,366,388,154,301,513,700,214,287,662,287,417,38,45,27,42,427,10,5
32,Zacatecas,001,Apozol,0002,Achoquen,"103°04'21.628"" W","21°30'50.617"" N",1302,37,18,19,1,1,0,36,17,19,35,16,19,31,12,19,27,11,16,24,11,13,1,1,0,4,4,0,7,4,3,4,1,3,3,0,3,0,0,0,7,6,2,4,105.56,10,22,5,3.58,34,16,18,1,0,1,34,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,2,1,1,0,0,0,0,2,1,2,0,0,1,0,0,33,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,2,2,0,4,2,2,4,1,3,10,2,8,0,0,0,7,5,2,1,1,0,5.93,6.91,5.25,19,4,15,12,8,4,19,4,15,0,0,0,7,30,0,0,0,0,30,0,0,0,11,18,2,35,0,0,2,11,5,6,37,16,21,18,11,18,11,11,11,3,4,37,3.36,0.74,11,0,1,10,0,0,11,11,0,11,0,0,11,0,11,0,11,0,11,0,11,3,0,11,10,7,8,4,3,9,11,1,1,11,0,6,0,0,0,0,10,0,1
32,Zacatecas,001,Apozol,0006,Rancho de Ayo,"103°02'27.287"" W","21°27'22.048"" N",1481,26,11,15,2,1,1,24,10,14,24,10,14,23,9,14,21,9,12,19,9,10,0,0,0,1,1,0,2,0,2,2,0,2,2,0,2,2,1,1,5,8,4,4,136.36,5,16,5,2.89,26,11,15,0,0,0,24,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,2,0,1,1,2,1,1,6,3,0,0,3,0,1,0,18,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,2,1,1,8,3,5,5,3,2,0,0,0,3,1,2,2,1,1,5.14,5.11,5.17,14,2,12,9,7,2,14,2,12,0,0,0,2,24,3,0,0,0,21,0,0,0,4,16,3,26,0,0,0,7,0,7,26,0,26,13,7,13,7,7,7,4,2,26,3.71,0.96,7,0,3,4,0,2,5,6,1,7,0,0,7,0,7,0,7,0,6,0,7,1,0,6,6,4,5,2,2,4,5,0,0,6,1,4,0,0,2,1,6,0,1
32,Zacatecas,001,Apozol,0007,Banco de Piedra,"103°09'57.434"" W","21°30'36.212"" N",1768,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
32,Zacatecas,001,Apozol,0012,La Calera,"103°04'37.689"" W","21°28'00.732"" N",1388,14,7,7,0,0,0,14,7,7,13,7,6,13,7,6,13,7,6,12,6,6,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,1,1,100,1,12,1,2,13,7,6,1,0,1,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,        0,        0,        0,0,0,0,0,0,0,0,5,1,5,0,3,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,6,3,3,2,2,0,0,0,0,3,1,2,1,1,0,5.23,6,4.33,2,0,2,11,7,4,2,0,2,0,0,0,0,14,0,0,0,0,14,0,0,0,3,9,1,14,0,0,0,4,0,4,14,0,14,7,4,7,4,4,4,0,3,14,3.5,1,4,0,1,3,0,1,3,4,0,3,3,1,3,0,4,0,4,0,3,0,4,1,0,4,3,1,2,3,0,4,4,1,2,4,1,2,0,0,0,0,3,0,1
32,Zacatecas,001,Apozol,0013,La Campana,"102°59'39.520"" W","21°26'15.419"" N",1647,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1
